LIST AKL PRODUCT ;;;;AKL EXPIRED;;;;
;;;;;;;;
Kode;Nama product;Kelompok;AKL NO;Expired AKL;Lampiran;Category;Vendor;Keterangan
3A.1324;Nosepiece - NEBJET/FASTERJET;Aksesoris;AKL 20403413299;31/12/19;;Aksesoris;3A;
3A.1325;Mask Adult - NEBJET/FASTERJET;Aksesoris;AKL 20403411988;31/12/25;;Aksesoris;3A;
3A.1326;Mask Pediatric - NEBJET/FASTERJET;Aksesoris;AKL 20403411988;31/12/25;;Aksesoris;3A;
3A.1621;Mouthpiece - NEBJET;Aksesoris;AKL 20403413299;31/12/19;;Aksesoris;3A;
3A.166;Nebulizer Rubber Pads - 3A;Aksesoris;-;;;Aksesoris;3A;
3A.1923;On/Off Switch for Maxiaspeed;;-;;;;3A;
3A.1925;Anti-Bacterial Filter 2200/911 for Maxiaspeed;Aksesoris;AKL 20903512820;31/12/25;v;Aksesoris;3A;
3A.1929;Bottom (cover for Maxiaspeed);;-;;;;3A;
3A.1930;Cover with 1 Rear Hole (cover for Maxiaspeed);;-;;;;3A;
3A.2855;Nosepiece-Mouthpiece Integrated - 3A;Sparepart;-;;;Sparepart;3A;
3A.AP1003U;MYNEB ;Elektromedik Non-Radiasi;AKL 20403413299;31/12/19;;Unit;3A;
3A.AP1200A;PICONEB;;-;;;;3A;
3A.AP1600A;MIDINEB;Elektromedik Non-Radiasi;-;;;Unit;3A;
3A.AP1603A;FUNNEB;Elektromedik Non-Radiasi;AKL 20403413165;31/12/19;;Unit;3A;
3A.AP1800A;ATOMIZER;Elektromedik Non-Radiasi;AKL 20403411988;31/12/25;v;Unit;3A;
3A.AP402A;NEBBY PLUS;Elektromedik Non-Radiasi;AKL 20403413290;31/12/19;;Unit;3A;
3A.AP600A;AIRJOLLIE II Professional;Elektromedik Non-Radiasi;AKL 20403413507;21/12/19;;Unit;3A;
3A.AP7000A;COMP-A-NEB Professional;Elektromedik Non-Radiasi;AKL 20403413389;31/12/25;;Unit;3A;
3A.AP700A;HOSPYNEB Professional;Elektromedik Non-Radiasi;AKL 20403413389;31/12/25;;Unit;3A;
3A.AS706A;MAXIASPEED 9.4 Suction Unit;Elektromedik Non-Radiasi;AKL 20903512820;31/12/25;v;Unit;3A;
3A.C087/1;Connecting Tube / Air hose - 3A;Aksesoris;AKL 20903512820;31/12/25;;Aksesoris;3A;
3A.C174;POREX®Filter - AIRJOLIE II/HOSPYNEB;Aksesoris;AKL 20403413507;21/12/19;;Aksesoris;3A;
3A.C224;Filter (3pcs) - for Atomizer, Nebby, Funneb 3s;Aksesoris;AKL 20403413299;31/12/19;;Aksesoris;3A;Tidak ada AKL / SUKET
3A.C260;Rod Crank Unit - HOSPYNEB;Sparepart;-;;;Sparepart;3A;
3A.C306;Suction Pump Bag 2000 ml - MAXIASPEED;Aksesoris;-;;;Aksesoris;3A;
3A.C308;Body (cover for Maxiaspeed);;-;;;;3A;
3A.C318;Silicone Tube 0.24 MT - MAXIASPEED;Aksesoris;-;;;Aksesoris;3A;
